name,description,domain
JPMorgan Chase,A global financial services giant offering traditional retail banking and complex investment banking with a massive physical branch network.,finance
Goldman Sachs,Focuses on institutional banking and high-net-worth wealth management via its Marcus platform and traditional private wealth division.,finance
HSBC,A massive international bank specializing in cross-border corporate banking and trade finance for global enterprises.,finance
Barclays,UK-based universal bank known for strong credit card operations and comprehensive corporate lending services.,finance
Revolut,A global digital-only neobank providing multi-currency accounts and instant P2P payments for travelers and tech-savvy consumers.,fintech
Stripe,Provides economic infrastructure for the internet through a B2B payment gateway API used by millions of businesses to accept online payments.,fintech
Chainalysis,Blockchain data platform that provides compliance and investigation software to government agencies and cryptocurrency businesses.,fintech
Plann,Personal finance app that aggregates bank accounts to provide AI-driven budgeting and automated spending categorization.,fintech
Coinbase,A secure US-based exchange platform for buying and selling institutional-grade digital assets and institutional custody solutions.,fintech
Deel,HR and fintech platform that automates international payroll and tax compliance for companies hiring freelancers and remote workers.,fintech
Wise,Specializes in low-cost international money transfers using a mid-market exchange rate to reduce hidden fees for expatriates.,fintech
Brex,Provides corporate credit cards and expense management software specifically tailored for high-growth startups and venture-backed firms.,fintech
Betterment,The pioneer of automated robo-advising offering retail investors low-cost algorithmic portfolio management and retirement planning.,investing
Wealthfront,A leading robo-advisor focusing on tax-advantaged automated investing and high-yield cash accounts for millennial professionals.,investing
Aspiration,A sustainable financial firm that offers 'Spend & Save' accounts where deposits are not used to fund fossil fuel projects or firearm manufacturing.,investing
Fundrise,Real estate crowdfunding platform that allows retail investors to buy fractional shares of high-quality commercial real estate portfolios.,investing
Uniswap,A decentralized finance (DeFi) protocol on Ethereum that uses automated market makers (AMMs) to provide permissionless liquidity.,investing
Robinhood,A retail brokerage known for zero-commission stock trading and a mobile-first interface designed to democratize access to financial markets.,investing
Citadel Securities,A major market maker and liquidity provider that handles high-frequency institutional block trading and execution services.,investing
Xpansiv,The leading market infrastructure for scaling the energy transition via the buying and selling of certified carbon offsets and RECs.,investing
OneGold,A digital platform for buying and storing physical precious metals in secure vaults like the Royal Canadian Mint.,investing
PitchBook,Comprehensive data platform for private equity and venture capital professionals to monitor deal flow and startup valuations.,investing
Kiva,A peer-to-peer (P2P) lending marketplace that allows individuals to lend small amounts to entrepreneurs in emerging markets.,lending
Upstart,An AI-driven lending platform that uses alternative data points like education and employment history to determine creditworthiness.,lending
Rocket Mortgage,A digital-first mortgage lender that has automated the residential home loan process to provide instant pre-approvals.,lending
Bluevine,Provides small business financing through invoice factoring and flexible lines of credit for B2B companies.,lending
John Deere Financial,Specialized agricultural lending providing equipment financing and crop insurance for large-scale farming operations.,lending
Sallie Mae,The primary private student loan provider in the US focusing on higher education and vocational training financing.,lending
Flexport,Combines freight forwarding with trade finance to provide logistics companies with capital based on their global shipping data.,lending
Traxpay,Supply chain finance platform that allows maritime and cargo logistics companies to optimize their working capital and payment terms.,lending
CareCredit,Specialized healthcare credit card for medical procedures and elective surgeries not covered by traditional insurance.,lending
